Month,Points,Ranking,Team
2018-08-01,1500,265,Brentford FC
2018-09-01,1500,270,Brentford FC
2018-10-01,1500,267,Brentford FC
2018-11-01,1500,270,Brentford FC
2018-12-01,1500,269,Brentford FC
2019-01-01,1500,277,Brentford FC
2019-02-01,1500,271,Brentford FC
2019-03-01,1500,267,Brentford FC
2019-04-01,1500,276,Brentford FC
2019-05-01,1500,274,Brentford FC
2019-06-01,1500,282,Brentford FC
2019-07-01,1500,281,Brentford FC
2019-08-01,1500,277,Brentford FC
2019-09-01,1500,284,Brentford FC
2019-10-01,1500,278,Brentford FC
2019-11-01,1500,286,Brentford FC
2019-12-01,1500,290,Brentford FC
2020-01-01,1500,288,Brentford FC
2020-02-01,1500,294,Brentford FC
2020-03-01,1500,294,Brentford FC
2020-04-01,1500,293,Brentford FC
2020-05-01,1500,292,Brentford FC
2020-06-01,1500,292,Brentford FC
2020-07-01,1500,291,Brentford FC
2020-08-01,1500,291,Brentford FC
2020-09-01,1500,293,Brentford FC
2020-10-01,1500,302,Brentford FC
2020-11-01,1500,297,Brentford FC
2020-12-01,1500,296,Brentford FC
2021-01-01,1500,296,Brentford FC
2021-02-01,1500,292,Brentford FC
2021-03-01,1500,297,Brentford FC
2021-04-01,1500,295,Brentford FC
2021-05-01,1500,288,Brentford FC
2021-06-01,1500,291,Brentford FC
2021-07-01,1500,290,Brentford FC
2021-08-01,1500,292,Brentford FC
2021-09-01,1547,186,Brentford FC
2021-10-01,1574,147,Brentford FC
2021-11-01,1560,171,Brentford FC
2021-12-01,1553,182,Brentford FC
2022-01-01,1547,196,Brentford FC
2022-02-01,1518,254,Brentford FC
2022-03-01,1490,316,Brentford FC
2022-04-01,1529,232,Brentford FC
2022-05-01,1623,97,Brentford FC
2022-06-01,1624,100,Brentford FC
2022-07-01,1624,99,Brentford FC
2022-08-01,1624,94,Brentford FC
2022-09-01,1637,84,Brentford FC
2022-10-01,1635,87,Brentford FC
2022-11-01,1617,100,Brentford FC
2022-12-01,1645,83,Brentford FC
2023-01-01,1675,63,Brentford FC
2023-02-01,1716,46,Brentford FC
2023-03-01,1725,42,Brentford FC
2023-04-01,1723,42,Brentford FC
2023-05-01,1718,48,Brentford FC
2023-06-01,1779,21,Brentford FC
2023-07-01,1779,22,Brentford FC
2023-08-01,1779,22,Brentford FC
2023-09-01,1789,19,Brentford FC
2023-10-01,1728,35,Brentford FC
2023-11-01,1750,28,Brentford FC
2023-12-01,1736,35,Brentford FC
2024-01-01,1638,94,Brentford FC
2024-02-01,1641,88,Brentford FC
2024-03-01,1636,95,Brentford FC
2024-04-01,1616,111,Brentford FC
2024-05-01,1650,90,Brentford FC
2024-06-01,1642,98,Brentford FC
2024-07-01,1642,98,Brentford FC
2024-08-01,1642,96,Brentford FC
2024-09-01,1659,80,Brentford FC
2024-10-01,1642,91,Brentford FC
2024-11-01,1650,85,Brentford FC
2024-12-01,1670,73,Brentford FC
2025-01-01,1654,83,Brentford FC
2025-02-01,1683,63,Brentford FC
2025-03-01,1690,63,Brentford FC
2025-04-01,1698,56,Brentford FC
2025-05-01,1720,45,Brentford FC
2025-06-01,1748,35,Brentford FC
2025-07-01,1748,35,Brentford FC
2025-08-01,1748,34,Brentford FC
2025-09-01,1730,45,Brentford FC
2025-10-01,1760,32,Brentford FC
2025-11-01,1757,34,Brentford FC
2010-02-01,1250,1985,Brighton & Hove Albion FC
2010-03-01,1250,1987,Brighton & Hove Albion FC
2010-04-01,1250,1982,Brighton & Hove Albion FC
2010-05-01,1250,1988,Brighton & Hove Albion FC
2010-06-01,1250,1983,Brighton & Hove Albion FC
2010-07-01,1250,1984,Brighton & Hove Albion FC
2010-08-01,1250,1986,Brighton & Hove Albion FC
2010-09-01,1250,1987,Brighton & Hove Albion FC
2010-10-01,1250,1983,Brighton & Hove Albion FC
2010-11-01,1250,1979,Brighton & Hove Albion FC
2010-12-01,1250,1974,Brighton & Hove Albion FC
2011-01-01,1250,1970,Brighton & Hove Albion FC
2011-02-01,1250,1973,Brighton & Hove Albion FC
2011-03-01,1250,1974,Brighton & Hove Albion FC
2011-04-01,1250,1968,Brighton & Hove Albion FC
2011-05-01,1250,1976,Brighton & Hove Albion FC
2011-06-01,1250,1971,Brighton & Hove Albion FC
2011-07-01,1250,1971,Brighton & Hove Albion FC
2011-08-01,1250,1966,Brighton & Hove Albion FC
2011-09-01,1250,1970,Brighton & Hove Albion FC
2011-10-01,1250,1971,Brighton & Hove Albion FC
2011-11-01,1250,1968,Brighton & Hove Albion FC
2011-12-01,1250,1969,Brighton & Hove Albion FC
2012-01-01,1250,1968,Brighton & Hove Albion FC
2012-02-01,1250,1969,Brighton & Hove Albion FC
2012-03-01,1250,1965,Brighton & Hove Albion FC
2012-04-01,1250,1960,Brighton & Hove Albion FC
2012-05-01,1250,1957,Brighton & Hove Albion FC
2012-06-01,1250,1968,Brighton & Hove Albion FC
2012-07-01,1250,1967,Brighton & Hove Albion FC
2012-08-01,1250,1973,Brighton & Hove Albion FC
2012-09-01,1250,1974,Brighton & Hove Albion FC
2012-10-01,1250,1970,Brighton & Hove Albion FC
2012-11-01,1250,1977,Brighton & Hove Albion FC
2012-12-01,1250,1974,Brighton & Hove Albion FC
2013-01-01,1250,1979,Brighton & Hove Albion FC
2013-02-01,1250,1976,Brighton & Hove Albion FC
2013-03-01,1250,1977,Brighton & Hove Albion FC
2013-04-01,1250,1997,Brighton & Hove Albion FC
2013-05-01,1250,1993,Brighton & Hove Albion FC
2013-06-01,1250,1991,Brighton & Hove Albion FC
2013-07-01,1250,1992,Brighton & Hove Albion FC
2013-08-01,1250,1994,Brighton & Hove Albion FC
2013-09-01,1250,1996,Brighton & Hove Albion FC
2013-10-01,1250,2006,Brighton & Hove Albion FC
2013-11-01,1250,2001,Brighton & Hove Albion FC
2013-12-01,1250,2006,Brighton & Hove Albion FC
2014-01-01,1250,1999,Brighton & Hove Albion FC
2014-02-01,1250,2001,Brighton & Hove Albion FC
2014-03-01,1250,2009,Brighton & Hove Albion FC
2014-04-01,1250,2013,Brighton & Hove Albion FC
2014-05-01,1250,2005,Brighton & Hove Albion FC
2014-06-01,1250,2002,Brighton & Hove Albion FC
2014-07-01,1250,2003,Brighton & Hove Albion FC
2014-08-01,1250,2004,Brighton & Hove Albion FC
2014-09-01,1250,2020,Brighton & Hove Albion FC
2014-10-01,1250,2025,Brighton & Hove Albion FC
2014-11-01,1250,2036,Brighton & Hove Albion FC
2014-12-01,1250,2026,Brighton & Hove Albion FC
2015-01-01,1250,2032,Brighton & Hove Albion FC
2015-02-01,1250,2029,Brighton & Hove Albion FC
2015-03-01,1250,2035,Brighton & Hove Albion FC
2015-04-01,1250,2037,Brighton & Hove Albion FC
2015-05-01,1250,2039,Brighton & Hove Albion FC
2015-06-01,1250,2037,Brighton & Hove Albion FC
2015-07-01,1250,2036,Brighton & Hove Albion FC
2015-08-01,1250,2037,Brighton & Hove Albion FC
2015-09-01,1250,2040,Brighton & Hove Albion FC
2015-10-01,1250,2040,Brighton & Hove Albion FC
2015-11-01,1250,2039,Brighton & Hove Albion FC
2015-12-01,1250,2039,Brighton & Hove Albion FC
2016-01-01,1250,2039,Brighton & Hove Albion FC
2016-02-01,1250,2044,Brighton & Hove Albion FC
2016-03-01,1250,2047,Brighton & Hove Albion FC
2016-04-01,1250,2046,Brighton & Hove Albion FC
2016-05-01,1250,2050,Brighton & Hove Albion FC
2016-06-01,1250,2048,Brighton & Hove Albion FC
2016-07-01,1250,2050,Brighton & Hove Albion FC
2016-08-01,1250,2049,Brighton & Hove Albion FC
2016-09-01,1250,2047,Brighton & Hove Albion FC
2016-10-01,1250,2056,Brighton & Hove Albion FC
2016-11-01,1250,2058,Brighton & Hove Albion FC
2016-12-01,1250,2056,Brighton & Hove Albion FC
2017-01-01,1250,2054,Brighton & Hove Albion FC
2017-02-01,1250,2049,Brighton & Hove Albion FC
2017-03-01,1250,2056,Brighton & Hove Albion FC
2017-04-01,1250,2054,Brighton & Hove Albion FC
2017-05-01,1250,2055,Brighton & Hove Albion FC
2017-06-01,1250,2054,Brighton & Hove Albion FC
2017-07-01,1250,2052,Brighton & Hove Albion FC
2017-08-01,1500,265,Brighton & Hove Albion FC
2017-09-01,1489,312,Brighton & Hove Albion FC
2017-10-01,1515,238,Brighton & Hove Albion FC
2017-11-01,1547,184,Brighton & Hove Albion FC
2017-12-01,1553,178,Brighton & Hove Albion FC
2018-01-01,1532,207,Brighton & Hove Albion FC
2018-02-01,1508,250,Brighton & Hove Albion FC
2018-03-01,1556,173,Brighton & Hove Albion FC
2018-04-01,1560,167,Brighton & Hove Albion FC
2018-05-01,1542,187,Brighton & Hove Albion FC
2018-06-01,1560,164,Brighton & Hove Albion FC
2018-07-01,1560,166,Brighton & Hove Albion FC
2018-08-01,1560,166,Brighton & Hove Albion FC
2018-09-01,1563,164,Brighton & Hove Albion FC
2018-10-01,1550,182,Brighton & Hove Albion FC
2018-11-01,1589,132,Brighton & Hove Albion FC
2018-12-01,1554,178,Brighton & Hove Albion FC
2019-01-01,1571,150,Brighton & Hove Albion FC
2019-02-01,1542,197,Brighton & Hove Albion FC
2019-03-01,1503,259,Brighton & Hove Albion FC
2019-04-01,1516,239,Brighton & Hove Albion FC
2019-05-01,1453,399,Brighton & Hove Albion FC
2019-06-01,1462,373,Brighton & Hove Albion FC
2019-07-01,1462,373,Brighton & Hove Albion FC
2019-08-01,1462,376,Brighton & Hove Albion FC
2019-09-01,1475,336,Brighton & Hove Albion FC
2019-10-01,1480,325,Brighton & Hove Albion FC
2019-11-01,1520,242,Brighton & Hove Albion FC
2019-12-01,1510,273,Brighton & Hove Albion FC
2020-01-01,1546,194,Brighton & Hove Albion FC
2020-02-01,1517,255,Brighton & Hove Albion FC
2020-03-01,1513,266,Brighton & Hove Albion FC
2020-04-01,1524,247,Brighton & Hove Albion FC
2020-05-01,1524,247,Brighton & Hove Albion FC
2020-06-01,1524,248,Brighton & Hove Albion FC
2020-07-01,1537,206,Brighton & Hove Albion FC
2020-08-01,1566,150,Brighton & Hove Albion FC
2020-09-01,1566,152,Brighton & Hove Albion FC
2020-10-01,1576,143,Brighton & Hove Albion FC
2020-11-01,1562,161,Brighton & Hove Albion FC
2020-12-01,1586,127,Brighton & Hove Albion FC
2021-01-01,1547,183,Brighton & Hove Albion FC
2021-02-01,1579,141,Brighton & Hove Albion FC
2021-03-01,1570,150,Brighton & Hove Albion FC
2021-04-01,1595,116,Brighton & Hove Albion FC
2021-05-01,1585,134,Brighton & Hove Albion FC
2021-06-01,1615,100,Brighton & Hove Albion FC
2021-07-01,1615,101,Brighton & Hove Albion FC
2021-08-01,1615,96,Brighton & Hove Albion FC
2021-09-01,1619,96,Brighton & Hove Albion FC
2021-10-01,1650,77,Brighton & Hove Albion FC
2021-11-01,1645,79,Brighton & Hove Albion FC
2021-12-01,1617,93,Brighton & Hove Albion FC
2022-01-01,1636,82,Brighton & Hove Albion FC
2022-02-01,1660,71,Brighton & Hove Albion FC
2022-03-01,1598,121,Brighton & Hove Albion FC
2022-04-01,1564,163,Brighton & Hove Albion FC
2022-05-01,1636,85,Brighton & Hove Albion FC
2022-06-01,1685,58,Brighton & Hove Albion FC
2022-07-01,1685,58,Brighton & Hove Albion FC
2022-08-01,1685,58,Brighton & Hove Albion FC
2022-09-01,1715,42,Brighton & Hove Albion FC
2022-10-01,1729,36,Brighton & Hove Albion FC
2022-11-01,1721,41,Brighton & Hove Albion FC
2022-12-01,1710,49,Brighton & Hove Albion FC
2023-01-01,1711,48,Brighton & Hove Albion FC
2023-02-01,1768,27,Brighton & Hove Albion FC
2023-03-01,1745,32,Brighton & Hove Albion FC
2023-04-01,1760,28,Brighton & Hove Albion FC
2023-05-01,1758,28,Brighton & Hove Albion FC
2023-06-01,1755,30,Brighton & Hove Albion FC
2023-07-01,1755,30,Brighton & Hove Albion FC
2023-08-01,1755,30,Brighton & Hove Albion FC
2023-09-01,1749,32,Brighton & Hove Albion FC
2023-10-01,1771,27,Brighton & Hove Albion FC
2023-11-01,1767,27,Brighton & Hove Albion FC
2023-12-01,1782,23,Brighton & Hove Albion FC
2024-01-01,1777,24,Brighton & Hove Albion FC
2024-02-01,1734,35,Brighton & Hove Albion FC
2024-03-01,1744,35,Brighton & Hove Albion FC
2024-04-01,1719,41,Brighton & Hove Albion FC
2024-05-01,1668,70,Brighton & Hove Albion FC
2024-06-01,1649,91,Brighton & Hove Albion FC
2024-07-01,1649,90,Brighton & Hove Albion FC
2024-08-01,1649,88,Brighton & Hove Albion FC
2024-09-01,1710,51,Brighton & Hove Albion FC
2024-10-01,1683,63,Brighton & Hove Albion FC
2024-11-01,1710,48,Brighton & Hove Albion FC
2024-12-01,1736,42,Brighton & Hove Albion FC
2025-01-01,1689,62,Brighton & Hove Albion FC
2025-02-01,1719,49,Brighton & Hove Albion FC
2025-03-01,1750,32,Brighton & Hove Albion FC
2025-04-01,1768,26,Brighton & Hove Albion FC
2025-05-01,1706,52,Brighton & Hove Albion FC
2025-06-01,1785,25,Brighton & Hove Albion FC
2025-07-01,1785,25,Brighton & Hove Albion FC
2025-08-01,1785,25,Brighton & Hove Albion FC
2025-09-01,1797,24,Brighton & Hove Albion FC
2025-10-01,1784,28,Brighton & Hove Albion FC
2025-11-01,1805,23,Brighton & Hove Albion FC
2010-02-01,1422,540,Burnley FC
2010-03-01,1398,647,Burnley FC
2010-04-01,1358,776,Burnley FC
2010-05-01,1366,754,Burnley FC
2010-06-01,1396,649,Burnley FC
2010-07-01,1396,649,Burnley FC
2010-08-01,1396,653,Burnley FC
2010-09-01,1396,657,Burnley FC
2010-10-01,1396,655,Burnley FC
2010-11-01,1396,652,Burnley FC
2010-12-01,1396,663,Burnley FC
2011-01-01,1396,660,Burnley FC
2011-02-01,1396,662,Burnley FC
2011-03-01,1396,656,Burnley FC
2011-04-01,1396,660,Burnley FC
2011-05-01,1396,659,Burnley FC
2011-06-01,1396,663,Burnley FC
2011-07-01,1396,668,Burnley FC
2011-08-01,1396,668,Burnley FC
2011-09-01,1396,662,Burnley FC
2011-10-01,1396,667,Burnley FC
2011-11-01,1396,672,Burnley FC
2011-12-01,1396,672,Burnley FC
2012-01-01,1396,678,Burnley FC
2012-02-01,1396,678,Burnley FC
2012-03-01,1396,670,Burnley FC
2012-04-01,1396,668,Burnley FC
2012-05-01,1396,680,Burnley FC
2012-06-01,1396,673,Burnley FC
2012-07-01,1396,672,Burnley FC
2012-08-01,1396,673,Burnley FC
2012-09-01,1396,666,Burnley FC
2012-10-01,1396,669,Burnley FC
2012-11-01,1396,668,Burnley FC
2012-12-01,1396,659,Burnley FC
2013-01-01,1396,671,Burnley FC
2013-02-01,1396,666,Burnley FC
2013-03-01,1396,665,Burnley FC
2013-04-01,1396,659,Burnley FC
2013-05-01,1396,662,Burnley FC
2013-06-01,1396,667,Burnley FC
2013-07-01,1396,671,Burnley FC
2013-08-01,1396,669,Burnley FC
2013-09-01,1396,670,Burnley FC
2013-10-01,1396,670,Burnley FC
2013-11-01,1396,667,Burnley FC
2013-12-01,1396,664,Burnley FC
2014-01-01,1396,650,Burnley FC
2014-02-01,1396,655,Burnley FC
2014-03-01,1396,653,Burnley FC
2014-04-01,1396,666,Burnley FC
2014-05-01,1396,666,Burnley FC
2014-06-01,1396,667,Burnley FC
2014-07-01,1396,670,Burnley FC
2014-08-01,1396,668,Burnley FC
2014-09-01,1396,662,Burnley FC
2014-10-01,1393,668,Burnley FC
2014-11-01,1377,760,Burnley FC
2014-12-01,1415,567,Burnley FC
2015-01-01,1428,525,Burnley FC
2015-02-01,1423,537,Burnley FC
2015-03-01,1420,546,Burnley FC
2015-04-01,1438,481,Burnley FC
2015-05-01,1421,541,Burnley FC
2015-06-01,1464,385,Burnley FC
2015-07-01,1464,380,Burnley FC
2015-08-01,1464,382,Burnley FC
2015-09-01,1464,386,Burnley FC
2015-10-01,1464,382,Burnley FC
2015-11-01,1464,386,Burnley FC
2015-12-01,1464,386,Burnley FC
2016-01-01,1464,379,Burnley FC
2016-02-01,1464,381,Burnley FC
2016-03-01,1464,385,Burnley FC
2016-04-01,1464,382,Burnley FC
2016-05-01,1464,385,Burnley FC
2016-06-01,1464,380,Burnley FC
2016-07-01,1464,377,Burnley FC
2016-08-01,1464,378,Burnley FC
2016-09-01,1479,343,Burnley FC
2016-10-01,1496,298,Burnley FC
2016-11-01,1514,236,Burnley FC
2016-12-01,1503,259,Burnley FC
2017-01-01,1526,211,Burnley FC
2017-02-01,1551,173,Burnley FC
2017-03-01,1551,172,Burnley FC
2017-04-01,1538,192,Burnley FC
2017-05-01,1556,168,Burnley FC
2017-06-01,1525,224,Burnley FC
2017-07-01,1525,222,Burnley FC
2017-08-01,1525,219,Burnley FC
2017-09-01,1547,174,Burnley FC
2017-10-01,1562,152,Burnley FC
2017-11-01,1588,108,Burnley FC
2017-12-01,1626,73,Burnley FC
2018-01-01,1633,70,Burnley FC
2018-02-01,1604,101,Burnley FC
2018-03-01,1597,113,Burnley FC
2018-04-01,1639,67,Burnley FC
2018-05-01,1650,62,Burnley FC
2018-06-01,1615,100,Burnley FC
2018-07-01,1615,100,Burnley FC
2018-08-01,1615,101,Burnley FC
2018-09-01,1553,183,Burnley FC
2018-10-01,1565,163,Burnley FC
2018-11-01,1539,200,Burnley FC
2018-12-01,1516,238,Burnley FC
2019-01-01,1505,261,Burnley FC
2019-02-01,1547,190,Burnley FC
2019-03-01,1579,137,Burnley FC
2019-04-01,1551,189,Burnley FC
2019-05-01,1596,123,Burnley FC
2019-06-01,1569,154,Burnley FC
2019-07-01,1569,156,Burnley FC
2019-08-01,1569,155,Burnley FC
2019-09-01,1584,131,Burnley FC
2019-10-01,1590,129,Burnley FC
2019-11-01,1581,134,Burnley FC
2019-12-01,1586,122,Burnley FC
2020-01-01,1571,142,Burnley FC
2020-02-01,1598,112,Burnley FC
2020-03-01,1633,84,Burnley FC
2020-04-01,1633,88,Burnley FC
2020-05-01,1633,88,Burnley FC
2020-06-01,1633,87,Burnley FC
2020-07-01,1664,64,Burnley FC
2020-08-01,1670,51,Burnley FC
2020-09-01,1670,52,Burnley FC
2020-10-01,1635,88,Burnley FC
2020-11-01,1581,132,Burnley FC
2020-12-01,1590,123,Burnley FC
2021-01-01,1621,95,Burnley FC
2021-02-01,1631,87,Burnley FC
2021-03-01,1615,96,Burnley FC
2021-04-01,1640,80,Burnley FC
2021-05-01,1640,79,Burnley FC
2021-06-01,1579,137,Burnley FC
2021-07-01,1579,140,Burnley FC
2021-08-01,1579,139,Burnley FC
2021-09-01,1560,169,Burnley FC
2021-10-01,1549,183,Burnley FC
2021-11-01,1560,170,Burnley FC
2021-12-01,1573,148,Burnley FC
2022-01-01,1566,163,Burnley FC
2022-02-01,1565,160,Burnley FC
2022-03-01,1627,88,Burnley FC
2022-04-01,1570,151,Burnley FC
2022-05-01,1604,120,Burnley FC
2022-06-01,1567,165,Burnley FC
2022-07-01,1567,165,Burnley FC
2022-08-01,1567,163,Burnley FC
2022-09-01,1567,160,Burnley FC
2022-10-01,1567,160,Burnley FC
2022-11-01,1567,157,Burnley FC
2022-12-01,1567,160,Burnley FC
2023-01-01,1567,161,Burnley FC
2023-02-01,1567,166,Burnley FC
2023-03-01,1567,167,Burnley FC
2023-04-01,1567,170,Burnley FC
2023-05-01,1567,169,Burnley FC
2023-06-01,1567,173,Burnley FC
2023-07-01,1567,173,Burnley FC
2023-08-01,1567,175,Burnley FC
2023-09-01,1547,207,Burnley FC
2023-10-01,1522,257,Burnley FC
2023-11-01,1496,318,Burnley FC
2023-12-01,1465,412,Burnley FC
2024-01-01,1500,306,Burnley FC
2024-02-01,1496,321,Burnley FC
2024-03-01,1475,374,Burnley FC
2024-04-01,1496,325,Burnley FC
2024-05-01,1538,222,Burnley FC
2024-06-01,1499,318,Burnley FC
2024-07-01,1499,321,Burnley FC
2024-08-01,1499,321,Burnley FC
2024-09-01,1499,316,Burnley FC
2024-10-01,1499,312,Burnley FC
2024-11-01,1499,311,Burnley FC
2024-12-01,1499,318,Burnley FC
2025-01-01,1499,316,Burnley FC
2025-02-01,1499,319,Burnley FC
2025-03-01,1499,317,Burnley FC
2025-04-01,1499,321,Burnley FC
2025-05-01,1499,325,Burnley FC
2025-06-01,1499,322,Burnley FC
2025-07-01,1499,323,Burnley FC
2025-08-01,1499,326,Burnley FC
2025-09-01,1500,322,Burnley FC
2025-10-01,1538,223,Burnley FC
2025-11-01,1518,276,Burnley FC
2010-02-01,1843,3,Chelsea FC
2010-03-01,1777,6,Chelsea FC
2010-04-01,1778,6,Chelsea FC
2010-05-01,1794,6,Chelsea FC
2010-06-01,1821,5,Chelsea FC
2010-07-01,1821,5,Chelsea FC
2010-08-01,1821,5,Chelsea FC
2010-09-01,1838,5,Chelsea FC
2010-10-01,1851,3,Chelsea FC
2010-11-01,1877,3,Chelsea FC
2010-12-01,1781,7,Chelsea FC
2011-01-01,1750,10,Chelsea FC
2011-02-01,1748,10,Chelsea FC
2011-03-01,1772,10,Chelsea FC
2011-04-01,1798,9,Chelsea FC
2011-05-01,1796,6,Chelsea FC
2011-06-01,1762,9,Chelsea FC
2011-07-01,1762,9,Chelsea FC
2011-08-01,1762,9,Chelsea FC
2011-09-01,1767,10,Chelsea FC
2011-10-01,1787,6,Chelsea FC
2011-11-01,1759,10,Chelsea FC
2011-12-01,1735,14,Chelsea FC
2012-01-01,1743,13,Chelsea FC
2012-02-01,1749,13,Chelsea FC
2012-03-01,1708,22,Chelsea FC
2012-04-01,1764,10,Chelsea FC
2012-05-01,1839,6,Chelsea FC
2012-06-01,1787,10,Chelsea FC
2012-07-01,1787,10,Chelsea FC
2012-08-01,1787,10,Chelsea FC
2012-09-01,1776,11,Chelsea FC
2012-10-01,1793,11,Chelsea FC
2012-11-01,1802,11,Chelsea FC
2012-12-01,1754,13,Chelsea FC
2013-01-01,1774,12,Chelsea FC
2013-02-01,1763,13,Chelsea FC
2013-03-01,1739,15,Chelsea FC
2013-04-01,1727,17,Chelsea FC
2013-05-01,1774,14,Chelsea FC
2013-06-01,1836,9,Chelsea FC
2013-07-01,1836,9,Chelsea FC
2013-08-01,1836,9,Chelsea FC
2013-09-01,1858,6,Chelsea FC
2013-10-01,1823,10,Chelsea FC
2013-11-01,1888,6,Chelsea FC
2013-12-01,1841,10,Chelsea FC
2014-01-01,1850,10,Chelsea FC
2014-02-01,1875,7,Chelsea FC
2014-03-01,1892,6,Chelsea FC
2014-04-01,1885,9,Chelsea FC
2014-05-01,1872,11,Chelsea FC
2014-06-01,1862,10,Chelsea FC
2014-07-01,1862,10,Chelsea FC
2014-08-01,1862,10,Chelsea FC
2014-09-01,1895,6,Chelsea FC
2014-10-01,1907,5,Chelsea FC
2014-11-01,1924,4,Chelsea FC
2014-12-01,1939,4,Chelsea FC
2015-01-01,1935,4,Chelsea FC
2015-02-01,1916,5,Chelsea FC
2015-03-01,1909,5,Chelsea FC
2015-04-01,1900,5,Chelsea FC
2015-05-01,1925,4,Chelsea FC
2015-06-01,1877,5,Chelsea FC
2015-07-01,1877,5,Chelsea FC
2015-08-01,1877,5,Chelsea FC
2015-09-01,1828,9,Chelsea FC
2015-10-01,1805,10,Chelsea FC
2015-11-01,1723,30,Chelsea FC
2015-12-01,1749,21,Chelsea FC
2016-01-01,1733,22,Chelsea FC
2016-02-01,1766,17,Chelsea FC
2016-03-01,1774,16,Chelsea FC
2016-04-01,1749,22,Chelsea FC
2016-05-01,1734,24,Chelsea FC
2016-06-01,1721,27,Chelsea FC
2016-07-01,1721,27,Chelsea FC
2016-08-01,1721,27,Chelsea FC
2016-09-01,1747,23,Chelsea FC
2016-10-01,1712,31,Chelsea FC
2016-11-01,1798,12,Chelsea FC
2016-12-01,1827,11,Chelsea FC
2017-01-01,1882,5,Chelsea FC
2017-02-01,1882,5,Chelsea FC
2017-03-01,1890,7,Chelsea FC
2017-04-01,1907,5,Chelsea FC
2017-05-01,1903,6,Chelsea FC
2017-06-01,1915,6,Chelsea FC
2017-07-01,1915,6,Chelsea FC
2017-08-01,1915,6,Chelsea FC
2017-09-01,1913,7,Chelsea FC
2017-10-01,1928,8,Chelsea FC
2017-11-01,1886,11,Chelsea FC
2017-12-01,1921,9,Chelsea FC
2018-01-01,1904,9,Chelsea FC
2018-02-01,1854,12,Chelsea FC
2018-03-01,1816,12,Chelsea FC
2018-04-01,1807,13,Chelsea FC
2018-05-01,1808,13,Chelsea FC
2018-06-01,1776,16,Chelsea FC
2018-07-01,1776,16,Chelsea FC
2018-08-01,1776,16,Chelsea FC
2018-09-01,1810,12,Chelsea FC
2018-10-01,1821,12,Chelsea FC
2018-11-01,1847,11,Chelsea FC
2018-12-01,1836,13,Chelsea FC
2019-01-01,1840,14,Chelsea FC
2019-02-01,1773,22,Chelsea FC
2019-03-01,1799,17,Chelsea FC
2019-04-01,1790,19,Chelsea FC
2019-05-01,1801,15,Chelsea FC
2019-06-01,1839,8,Chelsea FC
2019-07-01,1839,8,Chelsea FC
2019-08-01,1839,8,Chelsea FC
2019-09-01,1808,14,Chelsea FC
2019-10-01,1801,18,Chelsea FC
2019-11-01,1869,8,Chelsea FC
2019-12-01,1843,11,Chelsea FC
2020-01-01,1795,16,Chelsea FC
2020-02-01,1769,20,Chelsea FC
2020-03-01,1722,34,Chelsea FC
2020-04-01,1738,26,Chelsea FC
2020-05-01,1738,26,Chelsea FC
2020-06-01,1738,26,Chelsea FC
2020-07-01,1765,22,Chelsea FC
2020-08-01,1753,23,Chelsea FC
2020-09-01,1747,25,Chelsea FC
2020-10-01,1742,28,Chelsea FC
2020-11-01,1796,19,Chelsea FC
2020-12-01,1833,14,Chelsea FC
2021-01-01,1796,18,Chelsea FC
2021-02-01,1766,26,Chelsea FC
2021-03-01,1822,15,Chelsea FC
2021-04-01,1870,8,Chelsea FC
2021-05-01,1861,9,Chelsea FC
2021-06-01,1925,5,Chelsea FC
2021-07-01,1925,5,Chelsea FC
2021-08-01,1925,5,Chelsea FC
2021-09-01,1943,5,Chelsea FC
2021-10-01,1935,5,Chelsea FC
2021-11-01,1957,3,Chelsea FC
2021-12-01,1967,5,Chelsea FC
2022-01-01,1929,7,Chelsea FC
2022-02-01,1922,7,Chelsea FC
2022-03-01,1963,5,Chelsea FC
2022-04-01,1989,4,Chelsea FC
2022-05-01,1911,5,Chelsea FC
2022-06-01,1879,8,Chelsea FC
2022-07-01,1879,8,Chelsea FC
2022-08-01,1879,8,Chelsea FC
2022-09-01,1824,18,Chelsea FC
2022-10-01,1807,18,Chelsea FC
2022-11-01,1862,12,Chelsea FC
2022-12-01,1835,14,Chelsea FC
2023-01-01,1839,14,Chelsea FC
2023-02-01,1812,16,Chelsea FC
2023-03-01,1743,34,Chelsea FC
2023-04-01,1789,20,Chelsea FC
2023-05-01,1667,66,Chelsea FC
2023-06-01,1667,70,Chelsea FC
2023-07-01,1667,72,Chelsea FC
2023-08-01,1667,69,Chelsea FC
2023-09-01,1665,74,Chelsea FC
2023-10-01,1629,98,Chelsea FC
2023-11-01,1662,76,Chelsea FC
2023-12-01,1702,52,Chelsea FC
2024-01-01,1699,54,Chelsea FC
2024-02-01,1700,54,Chelsea FC
2024-03-01,1708,47,Chelsea FC
2024-04-01,1709,45,Chelsea FC
2024-05-01,1729,39,Chelsea FC
2024-06-01,1797,21,Chelsea FC
2024-07-01,1797,21,Chelsea FC
2024-08-01,1797,21,Chelsea FC
2024-09-01,1804,19,Chelsea FC
2024-10-01,1842,14,Chelsea FC
2024-11-01,1837,15,Chelsea FC
2024-12-01,1846,16,Chelsea FC
2025-01-01,1821,18,Chelsea FC
2025-02-01,1806,18,Chelsea FC
2025-03-01,1775,22,Chelsea FC
2025-04-01,1779,23,Chelsea FC
