team,team.logo,team.color,team.style
Newcastle United FC,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Newcastle_United_Logo.svg/500px-Newcastle_United_Logo.svg.png,#030303,width:40px;height:40px;
Norwich City FC,https://upload.wikimedia.org/wikipedia/en/thumb/1/17/Norwich_City_FC_logo.svg/340px-Norwich_City_FC_logo.svg.png,#4f8b46,width:35px;height:40px;
Nottingham Forest FC,https://upload.wikimedia.org/wikipedia/en/thumb/e/e5/Nottingham_Forest_F.C._logo.svg/250px-Nottingham_Forest_F.C._logo.svg.png,#bc0000,width:30px;height:50px;
Oldham Athletic AFC,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Oldham_Athletic_AFC_%28emblem%29.svg/220px-Oldham_Athletic_AFC_%28emblem%29.svg.png,#2846fa,width:30px;height:40px;
Portsmouth FC,https://upload.wikimedia.org/wikipedia/en/thumb/3/38/Portsmouth_FC_logo.svg/420px-Portsmouth_FC_logo.svg.png,#344097,width:40px;height:40px;
Queens Park Rangers FC,https://upload.wikimedia.org/wikipedia/en/thumb/3/31/Queens_Park_Rangers_crest.svg/410px-Queens_Park_Rangers_crest.svg.png,#0000e1,width:40px;height:40px;
Reading FC,https://upload.wikimedia.org/wikipedia/en/thumb/1/11/Reading_FC.svg/400px-Reading_FC.svg.png,#bd1d41,width:40px;height:40px;
Sheffield United FC,https://upload.wikimedia.org/wikipedia/en/thumb/9/9c/Sheffield_United_FC_logo.svg/400px-Sheffield_United_FC_logo.svg.png,#cb272c,width:40px;height:40px;
Sheffield Wednesday FC,https://upload.wikimedia.org/wikipedia/en/thumb/8/88/Sheffield_Wednesday_badge.svg/280px-Sheffield_Wednesday_badge.svg.png,#5c80cb,width:35px;height:40px;
Southampton FC,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/FC_Southampton.svg/400px-FC_Southampton.svg.png,#cb203c,width:40px;height:40px;
Stoke City FC,https://upload.wikimedia.org/wikipedia/en/thumb/5/5e/Stoke_City_FC_crest_2001.svg/350px-Stoke_City_FC_crest_2001.svg.png,#b11a31,width:40px;height:40px;
Sunderland AFC,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Logo_Sunderland.svg/960px-Logo_Sunderland.svg.png,#db0000,width:40px;height:40px;
Swansea City AFC,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Swansea_City_AFC_logo.svg/420px-Swansea_City_AFC_logo.svg.png,#000002,width:40px;height:40px;
Swindon Town FC,https://upload.wikimedia.org/wikipedia/en/thumb/a/a3/Swindon_Town_FC.svg/400px-Swindon_Town_FC.svg.png,#bd1d21,width:40px;height:40px;
Tottenham Hotspur FC,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Tottenham_Hotspur.svg/330px-Tottenham_Hotspur.svg.png,#1e2756,width:30px;height:45px;
Watford FC,https://upload.wikimedia.org/wikipedia/en/thumb/e/e2/Watford.svg/380px-Watford.svg.png,#f7ed21,width:40px;height:40px;
West Bromwich Albion FC,https://upload.wikimedia.org/wikipedia/en/thumb/8/8b/West_Bromwich_Albion.svg/340px-West_Bromwich_Albion.svg.png,#101b53,width:35px;height:40px;
West Ham United FC,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/West_Ham_United_FC_logo.svg/500px-West_Ham_United_FC_logo.svg.png,#6b2f3c,width:40px;height:45px;
Wigan Athletic AFC,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Wigan_Athletic.svg/400px-Wigan_Athletic.svg.png,#395aab,width:40px;height:40px;
Wimbledon FC,https://upload.wikimedia.org/wikipedia/en/thumb/b/b3/Wimbledon_FC_crest.svg/300px-Wimbledon_FC_crest.svg.png,#0000fb,width:40px;height:40px;
Wolverhampton Wanderers FC,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Wolverhampton_Wanderers_FC_crest.svg/500px-Wolverhampton_Wanderers_FC_crest.svg.png,#edb831,width:45px;height:40px;
